Predictor variable,Categorical,Sample average
1,false,7.196336228272011
11,false,5.0166666660265165
12,false,638.7586206896551
13,false,139.44827586206895
14,false,4.086206896551724
15,false,101.64954422260153
16,false,382.37931034482756
17,false,18.913793103448278
18,false,8.700574726893985
19,false,29.189655172413794
2,false,15.499856324031436
3,false,73.46598907996868
4,false,153.44723024039433
5,false,16.55689655501267
6,false,-4.662068974355171
7,false,21.218965612608812
8,false,8.482183957922048
9,false,5.155459794344316
