X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-69.866669,-14.916667,train,2.5609665741827356E-4,29.497413435585226,0.5582059305922078
-72.900001,-13.75,train,0.009796835842863115,99.99999948017226,0.9999999999999732
-76.935517,-11.299651,train,2.9329823483183793E-5,1.8912294741241968,0.0893147200473835
-74.03454,-13.819719,train,5.054067995282171E-4,74.85482687130313,0.8005466327830654
-70.48151,-16.372861,train,3.8038914689388054E-4,57.25952741482053,0.7028108671950906
-71.802019,-14.465147,train,3.40359771782161E-4,47.614171219027185,0.6623341888803577
-72.723333,-15.473888,train,5.766615715259915E-4,81.50153932914039,0.8410979440755874
-72.585258,-13.401467,train,4.459359811832904E-4,67.76866630432936,0.7588826374659514
-70.709038,-15.642874,train,4.7577287542836534E-4,71.27714037856919,0.7807728502346428
-74.228058,-13.038611,train,1.3736245147573023E-4,12.497744005086105,0.354781599814078
-69.25,-17.299999,train,2.9710335761471215E-4,37.20716594556192,0.6123749888717811
-75.817191,-12.2518,train,3.2846303941011393E-4,44.81597161071356,0.649273911978361
-69.666667,-16.38154,train,3.733137857201093E-4,55.67832200595553,0.6960272288233347
-71.766663,-15.2,train,6.158273571924717E-4,84.90513757290732,0.8597600613998236
-72.177146,-15.657446,train,4.090251755053033E-4,62.5330891652422,0.7287546004464065
-67.438219,-17.368877,train,1.7476300965403076E-4,16.95151345097684,0.4273432618169576
-74.96524,-11.683176,train,1.7869484454145686E-4,17.558931217640342,0.43448066267436936
-76.12355,-12.601827,train,4.662794964034424E-4,70.03485392424186,0.774032560449728
-70.0199,-15.8422,train,4.1451024668985196E-4,63.52122056072455,0.7334591918025495
-70.083015,-16.642078,train,2.582770425291388E-4,30.03263556162537,0.5612679979069103
-73.617,-14.599,train,4.150812286751483E-4,63.60656753500272,0.7339442141266004
-71.37204,-14.174452,train,2.712835209722972E-4,32.51600856114385,0.579098027489154
-75.882,-11.254,train,2.613571132698315E-4,30.748381234071186,0.56555742545986
-76.226933,-11.682346,train,2.1227250444456831E-4,22.15705992450587,0.4919211782945996
-72.730512,-14.502716,train,3.531337097897091E-4,50.5115701460886,0.6758165168745127
-69.030886,-15.280405,train,3.0265413008852575E-4,38.50071100030689,0.6191779360523497
-68.93954,-18.182415,train,2.596042843023275E-4,30.406415111345826,0.5631215354834325
-71.173072,-15.882528,train,9.072802798729152E-4,95.80803400276848,0.9446508112304196
-68.927624,-16.704571,train,1.408208017099037E-4,12.953363489180195,0.3618602994096195
-69.49749,-18.020606,train,3.606443235886646E-4,52.1584965675507,0.6834909338030624
-69.143628,-18.853917,train,2.0542063698849976E-4,20.859903737209432,0.48069412420375013
-73.600439,-15.463148,train,7.403002426557105E-4,91.12193932243184,0.9057166843725671
-74.227704,-14.355493,train,5.481023093194733E-4,79.3510505645565,0.8259421107797328
-71.202374,-13.72661,train,3.211257072699017E-4,43.16457039453447,0.640968339862052
-71.843911,-13.407544,train,3.063954581015145E-4,39.780694871724144,0.6236957674435877
-73.17779,-14.252502,train,3.8704390146305053E-4,58.75976409844473,0.7090530234624479
-76.178074,-10.841233,train,2.1294445707504078E-4,22.263207346723437,0.4930090444023507
-71.192097,-16.354869,train,8.991477500258862E-4,95.57396314438495,0.9431961786761864
-71.154915,-14.831089,train,6.106778524910014E-4,84.5323134256784,0.8574374315324267
-75.220347,-13.55262,train,7.430777330772852E-4,91.25900250550785,0.906548325598984
-66.444365,-17.011108,train,1.3274072738683556E-4,11.997374621507683,0.3451989180184756
-71.602936,-15.664208,train,7.609013949557479E-4,91.97691696174167,0.9117132941303335
-75.560932,-12.829088,train,5.148562621335185E-4,76.23056709196118,0.8064689359166957
-67.81,-18.567,train,1.1793024630474677E-4,10.086584335949663,0.31352157507189526
-70.367477,-15.041767,train,3.68807713741733E-4,54.46871341208519,0.6916264573925173
-74.970213,-12.843095,train,4.1538441893060026E-4,63.65188660215336,0.7342014011228998
-69.113589,-14.820012,train,3.462774149388137E-4,49.1262437733141,0.6686483316791494
-68.65397,-17.22072,train,2.3792730126184091E-4,26.439748906177844,0.5318440375135659
-74.692508,-14.292729,train,7.194830059880877E-4,90.17870183042565,0.8992433474664531
-74.883333,-12.366667,train,2.2731491082308736E-4,24.62379748541684,0.5157247279606134
-69.73426,-14.25466,train,3.1772524369927683E-4,42.260513257433956,0.6370527296780135
-69.527217,-18.474682,train,1.7533840581017543E-4,17.025847941081448,0.42839336962251207
-70.61841,-17.128426,train,7.207043901973394E-4,90.20101648431688,0.8996351356600873
-74.455011,-14.759566,train,5.934972382850629E-4,82.78604479838648,0.8494064233947046
-71.635339,-16.126478,train,9.519712318155307E-4,96.79325191848923,0.9520046414310309
-73.830779,-15.026157,train,5.20965971050155E-4,76.78672658017312,0.8102041640157037
-69.842374,-17.671109,train,3.7721734438255335E-4,56.504337066915525,0.6997887661856894
-71.55718,-16.7167,train,1.0691718232753406E-4,8.857573226856132,0.2889769252293297
